Tanggal,User,Tweet
18/08/2000,Rayhan,Good
18/08/2001,Rayhan,Good
18/08/2002,Rayhan,Good
18/08/2003,Rayhan,Good
18/08/2004,Rayhan,Good
18/08/2005,Rayhan,Good
18/08/2006,Rayhan,Good
18/08/2007,Rayhan,Good
18/08/2008,Rayhan,Good
18/08/2009,Rayhan,Good
18/08/2010,Rayhan,Good
18/08/2011,Rayhan,Good
18/08/2012,Rayhan,Good
18/08/2013,Yuda,MBKM
18/08/2014,Yuda,Good
18/08/2015,Yuda,Good
18/08/2016,Yuda,Good
18/08/2017,Yuda,Good
18/08/2018,Yuda,Good
18/08/2019,Yuda,Good
18/08/2020,Yuda,Bad
18/08/2021,Yuda,Bad
18/08/2022,Lesmana,Bad
18/08/2023,Lesmana,Bad
18/08/2024,Lesmana,Bad
18/08/2025,Lesmana,Bad
18/08/2026,Lesmana,Bad
18/08/2027,Lesmana,MBKM
18/08/2028,Lesmana,MSIB
18/08/2029,Lesmana,Kampus
